query-id	corpus-id	score
21	298584	3
21	32	2
21	7938	2
21	7939	2
21	132955	2
21	280772	2
21	280786	2
21	419809	2
21	422865	2
21	422871	2
21	603235	2
21	7940	1
21	280771	1
21	299143	1
21	591107	1
21	4453	0
21	238112	0
21	238121	0
21	238123	0
21	238126	0
21	280779	0
21	280780	0
21	280781	0
21	280783	0
21	280784	0
21	280785	0
21	299142	0
21	332191	0
21	414748	0
21	414749	0
21	422864	0
21	422866	0
155	364520	3
155	224	2
155	171571	2
155	534188	1
155	83527	0
155	98469	0
155	320304	0
155	667672	0
155	700382	0
155	700384	0
155	702544	0
264	329544	3
264	500112	3
264	393	2
264	394	2
264	16039	2
264	204401	2
264	656495	2
264	758928	2
264	225558	1
264	376826	1
264	376827	1
264	395	0
264	293235	0
264	376825	0
264	484441	0
264	485523	0
264	500111	0
264	500113	0
460	261412	3
460	292723	3
460	673	2
460	292934	2
460	342949	1
460	116077	0
460	192691	0
460	484133	0
460	607258	0
460	641718	0
460	741122	0
769	685035	3
769	542589	2
769	685037	1
769	1117	0
769	92298	0
769	231195	0
769	291267	0
769	485189	0
769	542588	0
769	542590	0
769	613470	0
769	650246	0
769	664416	0
769	685038	0
769	703088	0
1037	502037	3
1037	661285	3
1037	1508	2
1037	1511	2
1037	32735	2
1037	282958	2
1037	404633	2
1037	1506	1
1037	282959	1
1037	582797	1
1037	1505	0
1037	1507	0
1037	1509	0
1037	1510	0
1037	164347	0
1037	222161	0
1037	222162	0
1037	282956	0
1037	404634	0
1037	404635	0
1037	427139	0
1037	450269	0
1037	450282	0
1037	511531	0
1037	582784	0
1037	582785	0
1037	582786	0
1037	582787	0
1037	582788	0
1037	582789	0
1037	582791	0
1037	593046	0
1037	661286	0
1037	707824	0
1037	712805	0
1037	713876	0
1089	163968	3
1089	154949	2
1089	555239	2
1089	555243	2
1089	555244	2
1089	719404	2
1089	1580	1
1089	436212	1
1089	442333	1
1089	555240	1
1089	555241	1
1089	9421	0
1089	231896	0
1089	436211	0
1089	436213	0
1089	442332	0
1089	555242	0
1089	572776	0
1089	604363	0
1089	724702	0
1214	34144	3
1214	193785	3
1214	398817	3
1214	663391	2
1214	675219	2
1214	137401	1
1214	438676	1
1214	1764	0
1214	193784	0
1214	200244	0
1214	250448	0
1214	299567	0
1214	438677	0
1298	691465	3
1298	1886	2
1298	50515	2
1298	220360	2
1298	303605	2
1298	415007	2
1298	587807	2
1298	603428	2
1298	220361	1
1298	587806	1
1298	50516	0
1298	138108	0
1298	303606	0
1298	415008	0
1298	469359	0
1298	469360	0
1298	469361	0
1298	587808	0
1317	184675	3
1317	1912	2
1317	152432	2
1317	152434	2
1317	152435	2
1317	345014	2
1317	377859	2
1317	475526	2
1317	496468	2
1317	557315	2
1317	1915	1
1317	1916	1
1317	11381	1
1317	13451	1
1317	152433	1
1317	345013	1
1317	465497	1
1317	496471	1
1317	600668	1
1317	1911	0
1317	1913	0
1317	1914	0
1317	80456	0
1317	274235	0
1317	345010	0
1317	345011	0
1317	345012	0
1317	465498	0
1317	475527	0
1317	713224	0
1753	257665	3
1753	258122	2
1753	655238	2
1753	65642	1
1753	368080	1
1753	450207	1
1753	613108	1
1753	2555	0
1753	2556	0
1753	403096	0
1753	738873	0
1835	53483	3
1835	224460	3
1835	282145	3
1835	198814	2
1835	224459	2
1835	417198	2
1835	680262	2
1835	708949	2
1835	2673	1
1835	698869	1
1835	53484	0
1835	53485	0
1835	53486	0
1835	282146	0
1835	417199	0
1835	427990	0
1835	510204	0
1835	616826	0
1835	680261	0
1835	698870	0
1835	698871	0
1835	698872	0
1835	708938	0
1901	162762	3
1901	205467	2
1901	290092	2
1901	686123	2
1901	736475	2
1901	2765	1
1901	736470	1
1901	463751	0
1901	485465	0
1901	544599	0
1901	713624	0
1901	736469	0
1901	736471	0
1901	736472	0
1901	736473	0
1901	736474	0
2262	52079	3
2262	360643	2
2262	471819	2
2262	714715	2
2262	52078	1
2262	329091	1
2262	3342	0
2262	66595	0
2262	329089	0
2262	437985	0
2262	641913	0
2262	666262	0
2576	28555	3
2576	584897	3
2576	634342	3
2576	395728	2
2576	514372	2
2576	285393	1
2576	486957	1
2576	3835	0
2576	438661	0
2576	488136	0
2576	610792	0
2576	634343	0
2576	672024	0
2672	715382	3
2672	148859	2
2672	317356	2
2672	333265	2
2672	519467	2
2672	744148	2
2672	600557	1
2672	3970	0
2672	15788	0
2672	317355	0
2672	430298	0
2814	328647	3
2814	17666	2
2814	299055	2
2814	420251	2
2814	655584	2
2814	15082	1
2814	206960	1
2814	655582	1
2814	655585	1
2814	4166	0
2814	379320	0
2814	40662	0
2891	132020	3
2891	488339	3
2891	426950	2
2891	537358	2
2891	537359	2
2891	537361	2
2891	608497	2
2891	131770	1
2891	537362	1
2891	670651	1
2891	4276	0
2891	175641	0
2891	537356	0
2891	537357	0
2891	537360	0
2891	537363	0
2891	571004	0
3229	160391	3
3229	195926	3
3229	237948	3
3229	420012	3
3229	430381	3
3229	712293	3
3229	4764	2
3229	56343	2
3229	237952	2
3229	352906	2
3229	384742	2
3229	598493	2
3229	675936	2
3229	237946	1
3229	237949	1
3229	198882	1
3229	198888	1
3229	544133	1
3229	560769	1
3229	81825	0
3229	160387	0
3229	160388	0
3229	160389	0
3229	160390	0
3229	195912	0
3229	195914	0
3229	237947	0
3229	237951	0
3229	237953	0
3229	276279	0
3229	352905	0
3229	198881	0
3229	198887	0
3229	198884	0
3229	384743	0
3229	198886	0
3229	198885	0
3229	430379	0
3229	430380	0
3229	638213	0
3229	619236	0
3229	619234	0
3229	693646	0
3259	438181	3
3259	34492	2
3259	270842	2
3259	4827	1
3259	5750	0
3259	83844	0
3259	153172	0
3259	274654	0
3259	597107	0
3259	717263	0
3259	723019	0
3542	506907	3
3542	176599	2
3542	393465	2
3542	215347	1
3542	294191	1
3542	369552	1
3542	374136	1
3542	99232	1
3542	489253	1
3542	342979	1
3542	633571	1
3542	5260	0
3542	176600	0
3542	265316	0
3542	294200	0
3542	294203	0
3542	530102	0
3542	753088	0
3734	88750	3
3734	658161	3
3734	5555	2
3734	37940	2
3734	37941	2
3734	505983	2
3734	563419	2
3734	608299	2
3734	658160	2
3734	684384	2
3734	226253	1
3734	590561	1
3734	88751	0
3734	259845	0
3734	563417	0
3734	563418	0
3734	608298	0
3804	757098	3
3804	11781	2
3804	609660	2
3804	743791	1
3804	3532	0
3804	11780	0
3804	153507	0
3804	298437	0
3804	466827	0
3804	515968	0
3804	693245	0
3846	5704	3
3846	184045	3
3846	139075	2
3846	235802	2
3846	644373	2
3846	5705	1
3846	235801	1
3846	1437	0
3846	139076	0
3846	184043	0
3846	184044	0
3846	189375	0
3846	407979	0
3846	664709	0
3846	682765	0
3846	717218	0
3945	586355	3
3945	5852	2
3945	22454	2
3945	22455	2
3945	287401	2
3945	441514	2
3945	616038	2
3945	705981	2
3945	705982	2
3945	473774	1
3945	709376	1
3945	756921	1
3945	756920	0
4115	292835	3
4115	601810	2
4115	635882	2
4115	646987	2
4115	36760	1
4115	516678	1
4115	646986	1
4115	6105	0
4115	10995	0
4115	61214	0
4115	291824	0
4115	568823	0
4170	127170	3
4170	148257	3
4170	148256	2
4170	239929	2
4170	491027	2
4170	239930	1
4170	386825	1
4170	627006	1
4170	6204	0
4170	148255	0
4170	191030	0
4170	191031	0
4170	306242	0
4170	319742	0
4170	319743	0
4170	627005	0
4170	660267	0
4181	356132	3
4181	6216	2
4181	137793	2
4181	222269	2
4181	476182	2
4181	305472	1
4181	101413	0
4181	177563	0
4181	272807	0
4181	11911	0
4181	476183	0
4181	597047	0
4181	682174	0
4373	369741	3
4373	413468	2
4373	557353	2
4373	6548	1
4373	532780	1
4373	639822	1
4373	47029	0
4373	49712	0
4373	413469	0
4373	595293	0
4373	655891	0
4373	722412	0
4493	6733	3
4493	451391	3
4493	562740	3
4493	137817	2
4493	371752	2
4493	639869	2
4493	158957	1
4493	459129	1
4493	137816	0
4493	158958	0
4493	451390	0
4493	451392	0
4493	577635	0
4493	639870	0
4493	639871	0
4493	646472	0
4493	710912	0
4565	382557	3
4565	582585	3
4565	57089	2
4565	341131	2
4565	647658	1
4565	6851	0
4565	6852	0
4565	57090	0
4565	172012	0
4565	172013	0
4565	459251	0
4565	531239	0
4565	571191	0
4572	576100	3
4572	380740	2
4572	598195	2
4572	625673	2
4572	656957	2
4572	718333	1
4572	6860	0
4572	66654	0
4572	99763	0
4572	99764	0
4572	187725	0
4572	598194	0
4592	40800	3
4592	459223	3
4592	6890	2
4592	135159	2
4592	652667	2
4592	666585	2
4592	734764	2
4592	394625	1
4592	464268	1
4592	647630	1
4592	194481	0
4592	489058	0
4592	518642	0
4592	541672	0
4720	7084	3
4720	473243	3
4720	288385	2
4720	435435	2
4720	517417	2
4720	718578	2
4720	386242	1
4720	45435	0
4720	237208	0
4720	288386	0
4720	386241	0
4720	435436	0
5178	176559	3
5178	293858	3
5178	359016	3
5178	457737	3
5178	746579	3
5178	7798	2
5178	308348	2
5178	399555	2
5178	399556	2
5178	399557	2
5178	635950	2
5178	635952	2
5178	668366	2
5178	678834	2
5178	678835	2
5178	730758	2
5178	746577	2
5178	743938	2
5178	746580	2
5178	614812	1
5178	614819	1
5178	635951	1
5178	280357	0
5178	746576	0
5773	8759	3
5773	8760	3
5773	59015	2
5773	117832	2
5773	230249	2
5773	230670	2
5773	542188	2
5773	591481	2
5773	629489	2
5773	711463	2
5773	629490	1
5773	678974	1
5773	403405	0
5811	606019	3
5811	8837	2
5811	618112	2
5811	621167	2
5811	680435	2
5811	103883	1
5811	242291	1
5811	678250	1
5811	14710	0
5811	135679	0
5811	478343	0
5812	92159	3
5812	590326	3
5812	8838	2
5812	92160	2
5812	92162	2
5812	190789	2
5812	401153	2
5812	401154	2
5812	481545	2
5812	649608	2
5812	727256	2
5812	190790	1
5812	481544	1
5812	649606	1
5812	760970	1
5812	649609	0
5812	682121	0
5812	682122	0
5812	682123	0
5812	760968	0
5812	760971	0
5929	9020	3
5929	125558	3
5929	525849	3
5929	53987	2
5929	219228	2
5929	411181	2
5929	550708	2
5929	574860	2
5929	720529	2
5929	166168	1
5929	219226	1
5929	411182	1
5929	719949	1
5929	719950	1
5929	166169	0
5929	219227	0
5929	219229	0
5929	434979	0
5929	434980	0
5929	550709	0
5929	574859	0
5929	719951	0
5929	720530	0
6314	499793	3
6314	663627	3
6314	265454	2
6314	181032	1
6314	9646	0
6314	130585	0
6314	265451	0
6314	265452	0
6314	265453	0
6314	265455	0
6314	499792	0
6314	150785	0
6314	150786	0
6314	544532	0
6314	688323	0
6314	688324	0
6314	700297	0
6314	700302	0
6314	720624	0
6420	155879	3
6420	397979	3
6420	447387	3
6420	9824	2
6420	60594	2
